date,product_id,store_id,price,promotion,stock_level,units_sold
2022-03-31,Product_A,Store_1,9.23,0,182,113
2022-04-01,Product_A,Store_1,10.22,1,26,147
2022-04-02,Product_A,Store_1,9.6,0,197,140
2022-04-03,Product_A,Store_1,28.84,1,236,159
2022-04-04,Product_A,Store_1,16.28,0,178,106
2022-04-05,Product_A,Store_1,10.45,0,214,120
2022-04-06,Product_A,Store_1,20.57,0,167,109
2022-04-07,Product_A,Store_1,29.17,0,210,116
2022-04-08,Product_A,Store_1,27.11,0,185,126
2022-04-09,Product_A,Store_1,8.95,0,232,107
2022-04-10,Product_A,Store_1,13.57,1,166,188
2022-04-11,Product_A,Store_1,14.48,1,20,143
2022-04-12,Product_A,Store_1,27.83,0,204,105
2022-04-13,Product_A,Store_1,14.1,1,111,162
2022-04-14,Product_A,Store_1,15.77,0,197,103
2022-04-15,Product_A,Store_1,14.81,0,231,114
2022-04-16,Product_A,Store_1,10.93,0,54,144
2022-04-17,Product_A,Store_1,28.22,0,29,142
2022-04-18,Product_A,Store_1,8.58,1,52,117
2022-04-19,Product_A,Store_1,29.34,0,46,93
2022-04-20,Product_A,Store_1,18.31,0,118,124
2022-04-21,Product_A,Store_1,24.92,0,184,110
2022-04-22,Product_A,Store_1,13.44,0,97,110
2022-04-23,Product_A,Store_1,13.03,0,132,126
2022-04-24,Product_A,Store_1,15.88,0,91,130
2022-04-25,Product_A,Store_1,14.77,0,212,122
2022-04-26,Product_A,Store_1,9.94,0,76,108
2022-04-27,Product_A,Store_1,23.49,0,198,116
2022-04-28,Product_A,Store_1,15.71,1,117,176
2022-04-29,Product_A,Store_1,15.66,0,185,118
2022-04-30,Product_A,Store_1,16.72,0,125,122
2022-05-01,Product_A,Store_1,26.53,1,36,146
2022-05-02,Product_A,Store_1,9.01,0,25,123
2022-05-03,Product_A,Store_1,15.51,0,130,112
2022-05-04,Product_A,Store_1,11.34,0,137,94
2022-05-05,Product_A,Store_1,27.73,0,214,103
2022-05-06,Product_A,Store_1,11.79,0,141,97
2022-05-07,Product_A,Store_1,11.89,0,168,117
2022-05-08,Product_A,Store_1,18.14,0,109,114
2022-05-09,Product_A,Store_1,10.03,1,66,128
2022-05-10,Product_A,Store_1,11.45,0,67,95
2022-05-11,Product_A,Store_1,19.8,0,75,108
2022-05-12,Product_A,Store_1,24.72,0,97,107
2022-05-13,Product_A,Store_1,19.26,0,37,112
2022-05-14,Product_A,Store_1,16.74,0,211,124
2022-05-15,Product_A,Store_1,26.5,0,105,123
2022-05-16,Product_A,Store_1,27.59,0,231,93
2022-05-17,Product_A,Store_1,9.91,0,130,105
2022-05-18,Product_A,Store_1,20.9,0,102,120
2022-05-19,Product_A,Store_1,20.56,0,203,119
2022-05-20,Product_A,Store_1,21.33,0,52,92
2022-05-21,Product_A,Store_1,11.53,0,94,115
2022-05-22,Product_A,Store_1,11.81,0,74,113
2022-05-23,Product_A,Store_1,29.61,0,242,79
2022-05-24,Product_A,Store_1,29.33,1,23,149
2022-05-25,Product_A,Store_1,28.45,0,98,108
2022-05-26,Product_A,Store_1,14.16,0,63,93
2022-05-27,Product_A,Store_1,19.17,0,132,95
2022-05-28,Product_A,Store_1,21.43,0,83,99
2022-05-29,Product_A,Store_1,21.07,0,153,115
2022-05-30,Product_A,Store_1,20.07,0,157,107
2022-05-31,Product_A,Store_1,11.05,1,92,128
2022-06-01,Product_A,Store_1,18.41,0,57,104
2022-06-02,Product_A,Store_1,28.52,0,222,95
2022-06-03,Product_A,Store_1,16.34,1,20,147
2022-06-04,Product_A,Store_1,25.59,0,54,121
2022-06-05,Product_A,Store_1,13.19,0,97,122
2022-06-06,Product_A,Store_1,23.03,0,91,108
2022-06-07,Product_A,Store_1,27.79,0,144,82
2022-06-08,Product_A,Store_1,15.82,0,213,119
2022-06-09,Product_A,Store_1,13.04,0,58,83
2022-06-10,Product_A,Store_1,23.26,0,34,111
2022-06-11,Product_A,Store_1,19.74,1,174,156
2022-06-12,Product_A,Store_1,25.13,0,52,121
2022-06-13,Product_A,Store_1,23.71,0,24,108
2022-06-14,Product_A,Store_1,16.33,1,128,150
2022-06-15,Product_A,Store_1,25.54,0,24,87
2022-06-16,Product_A,Store_1,22.11,0,183,106
2022-06-17,Product_A,Store_1,15.61,0,30,106
2022-06-18,Product_A,Store_1,18.16,1,65,152
2022-06-19,Product_A,Store_1,20.9,0,209,126
2022-06-20,Product_A,Store_1,23.33,0,139,96
2022-06-21,Product_A,Store_1,16.24,0,156,102
2022-06-22,Product_A,Store_1,12.1,0,234,88
2022-06-23,Product_A,Store_1,21.37,1,194,148
2022-06-24,Product_A,Store_1,21.28,0,54,100
2022-06-25,Product_A,Store_1,27.0,0,57,102
2022-06-26,Product_A,Store_1,20.92,0,206,117
2022-06-27,Product_A,Store_1,20.71,0,199,93
2022-06-28,Product_A,Store_1,14.11,0,173,103
2022-06-29,Product_A,Store_1,19.33,0,100,85
2022-06-30,Product_A,Store_1,29.93,1,68,123
2022-07-01,Product_A,Store_1,9.48,0,234,90
2022-07-02,Product_A,Store_1,21.75,0,240,102
2022-07-03,Product_A,Store_1,20.92,0,20,85
2022-07-04,Product_A,Store_1,18.93,0,198,75
2022-07-05,Product_A,Store_1,15.36,0,74,118
2022-07-06,Product_A,Store_1,19.58,1,244,146
2022-07-07,Product_A,Store_1,26.48,0,154,87
2022-07-08,Product_A,Store_1,12.31,0,91,73
2022-07-09,Product_A,Store_1,11.93,0,116,107
2022-07-10,Product_A,Store_1,23.89,0,139,101
2022-07-11,Product_A,Store_1,16.74,0,184,84
2022-07-12,Product_A,Store_1,8.29,0,26,94
2022-07-13,Product_A,Store_1,8.58,0,144,84
2022-07-14,Product_A,Store_1,25.98,1,167,144
2022-07-15,Product_A,Store_1,15.99,0,138,85
2022-07-16,Product_A,Store_1,15.98,0,72,113
2022-07-17,Product_A,Store_1,25.15,0,100,94
2022-07-18,Product_A,Store_1,8.49,1,33,124
2022-07-19,Product_A,Store_1,21.94,0,122,99
2022-07-20,Product_A,Store_1,13.99,0,94,72
2022-07-21,Product_A,Store_1,25.93,0,60,86
2022-07-22,Product_A,Store_1,23.84,0,136,84
2022-07-23,Product_A,Store_1,13.8,0,50,73
2022-07-24,Product_A,Store_1,18.87,1,157,165
2022-07-25,Product_A,Store_1,16.9,1,209,115
2022-07-26,Product_A,Store_1,9.82,0,55,88
2022-07-27,Product_A,Store_1,16.56,0,59,76
2022-07-28,Product_A,Store_1,20.46,0,117,73
2022-07-29,Product_A,Store_1,28.61,0,88,93
2022-07-30,Product_A,Store_1,26.51,0,100,85
2022-07-31,Product_A,Store_1,21.71,0,213,98
2022-08-01,Product_A,Store_1,23.51,0,123,71
2022-08-02,Product_A,Store_1,9.67,0,248,63
2022-08-03,Product_A,Store_1,29.17,0,36,91
2022-08-04,Product_A,Store_1,19.92,1,235,105
2022-08-05,Product_A,Store_1,23.23,0,217,86
2022-08-06,Product_A,Store_1,18.77,1,162,143
2022-08-07,Product_A,Store_1,8.75,0,136,103
2022-08-08,Product_A,Store_1,29.36,0,234,81
2022-08-09,Product_A,Store_1,15.02,0,122,79
2022-08-10,Product_A,Store_1,16.02,0,127,79
2022-08-11,Product_A,Store_1,17.7,0,234,79
2022-08-12,Product_A,Store_1,25.69,0,23,88
2022-08-13,Product_A,Store_1,17.39,0,127,94
2022-08-14,Product_A,Store_1,27.14,0,177,110
2022-08-15,Product_A,Store_1,25.57,0,58,85
2022-08-16,Product_A,Store_1,24.88,0,240,78
2022-08-17,Product_A,Store_1,17.27,0,152,72
2022-08-18,Product_A,Store_1,18.28,0,139,91
2022-08-19,Product_A,Store_1,14.1,0,200,83
2022-08-20,Product_A,Store_1,10.41,1,140,135
2022-08-21,Product_A,Store_1,29.61,0,82,97
2022-08-22,Product_A,Store_1,27.88,1,245,90
2022-08-23,Product_A,Store_1,19.28,0,93,87
2022-08-24,Product_A,Store_1,8.81,0,22,91
2022-08-25,Product_A,Store_1,23.31,0,235,89
2022-08-26,Product_A,Store_1,12.94,1,139,123
2022-08-27,Product_A,Store_1,10.01,0,124,105
2022-08-28,Product_A,Store_1,18.49,0,214,107
2022-08-29,Product_A,Store_1,28.49,1,158,105
2022-08-30,Product_A,Store_1,13.56,0,57,72
2022-08-31,Product_A,Store_1,29.17,0,195,74
2022-09-01,Product_A,Store_1,29.81,0,133,67
2022-09-02,Product_A,Store_1,20.57,0,59,83
2022-09-03,Product_A,Store_1,27.02,0,52,89
2022-09-04,Product_A,Store_1,11.46,1,67,122
2022-09-05,Product_A,Store_1,28.46,0,119,79
2022-09-06,Product_A,Store_1,29.15,0,50,75
2022-09-07,Product_A,Store_1,26.04,0,200,71
2022-09-08,Product_A,Store_1,12.25,0,32,65
2022-09-09,Product_A,Store_1,10.55,0,117,81
2022-09-10,Product_A,Store_1,14.23,0,218,85
2022-09-11,Product_A,Store_1,26.48,0,175,89
2022-09-12,Product_A,Store_1,11.82,0,247,80
2022-09-13,Product_A,Store_1,11.66,0,31,79
2022-09-14,Product_A,Store_1,9.64,0,229,65
2022-09-15,Product_A,Store_1,17.81,1,246,119
2022-09-16,Product_A,Store_1,24.95,0,77,70
2022-09-17,Product_A,Store_1,14.02,0,48,66
2022-09-18,Product_A,Store_1,25.49,1,176,128
2022-09-19,Product_A,Store_1,9.81,0,225,70
2022-09-20,Product_A,Store_1,28.76,0,227,69
2022-09-21,Product_A,Store_1,16.75,1,204,99
2022-09-22,Product_A,Store_1,24.41,0,182,83
2022-09-23,Product_A,Store_1,23.73,0,37,62
2022-09-24,Product_A,Store_1,12.48,1,112,109
2022-09-25,Product_A,Store_1,17.98,0,69,88
2022-09-26,Product_A,Store_1,28.06,0,141,65
2022-09-27,Product_A,Store_1,18.59,0,225,80
2022-09-28,Product_A,Store_1,18.82,0,82,57
2022-09-29,Product_A,Store_1,25.55,0,158,68
2022-09-30,Product_A,Store_1,21.2,1,51,102
2022-10-01,Product_A,Store_1,26.92,0,121,62
2022-10-02,Product_A,Store_1,13.32,1,140,106
2022-10-03,Product_A,Store_1,18.98,0,105,71
2022-10-04,Product_A,Store_1,15.18,0,21,69
2022-10-05,Product_A,Store_1,9.82,0,96,71
2022-10-06,Product_A,Store_1,26.07,0,125,77
2022-10-07,Product_A,Store_1,22.0,0,214,61
2022-10-08,Product_A,Store_1,27.16,1,197,132
2022-10-09,Product_A,Store_1,15.47,0,146,90
2022-10-10,Product_A,Store_1,25.24,0,146,93
2022-10-11,Product_A,Store_1,9.8,0,31,83
2022-10-12,Product_A,Store_1,15.24,0,119,95
2022-10-13,Product_A,Store_1,25.37,0,202,67
2022-10-14,Product_A,Store_1,18.85,0,175,77
2022-10-15,Product_A,Store_1,12.85,0,201,67
2022-10-16,Product_A,Store_1,29.14,0,205,83
2022-10-17,Product_A,Store_1,21.83,0,239,75
2022-10-18,Product_A,Store_1,19.31,0,124,103
2022-10-19,Product_A,Store_1,18.71,0,85,75
2022-10-20,Product_A,Store_1,21.03,0,144,56
2022-10-21,Product_A,Store_1,21.89,0,162,66
2022-10-22,Product_A,Store_1,11.95,0,191,92
2022-10-23,Product_A,Store_1,11.98,0,88,90
2022-10-24,Product_A,Store_1,21.04,0,89,50
2022-10-25,Product_A,Store_1,29.33,0,85,75
2022-10-26,Product_A,Store_1,10.88,1,64,108
2022-10-27,Product_A,Store_1,13.19,0,214,66
2022-10-28,Product_A,Store_1,26.24,0,20,52
2022-10-29,Product_A,Store_1,21.58,0,20,91
2022-10-30,Product_A,Store_1,15.85,0,223,102
2022-10-31,Product_A,Store_1,27.01,0,153,57
2022-11-01,Product_A,Store_1,19.69,0,39,73
2022-11-02,Product_A,Store_1,10.69,0,217,73
2022-11-03,Product_A,Store_1,23.14,0,39,76
2022-11-04,Product_A,Store_1,23.09,1,145,108
2022-11-05,Product_A,Store_1,19.34,1,197,136
2022-11-06,Product_A,Store_1,11.07,0,147,100
2022-11-07,Product_A,Store_1,11.57,0,104,75
2022-11-08,Product_A,Store_1,11.44,0,121,76
2022-11-09,Product_A,Store_1,29.53,1,190,124
2022-11-10,Product_A,Store_1,21.59,0,155,63
2022-11-11,Product_A,Store_1,28.21,1,20,109
2022-11-12,Product_A,Store_1,26.19,0,67,88
2022-11-13,Product_A,Store_1,21.31,0,82,81
2022-11-14,Product_A,Store_1,27.16,1,92,116
2022-11-15,Product_A,Store_1,16.89,0,151,82
2022-11-16,Product_A,Store_1,27.83,0,160,80
2022-11-17,Product_A,Store_1,14.53,0,218,74
2022-11-18,Product_A,Store_1,21.86,0,218,87
2022-11-19,Product_A,Store_1,13.23,0,54,83
2022-11-20,Product_A,Store_1,20.92,0,219,71
2022-11-21,Product_A,Store_1,19.93,0,91,78
2022-11-22,Product_A,Store_1,28.11,0,240,94
2022-11-23,Product_A,Store_1,13.41,0,247,79
2022-11-24,Product_A,Store_1,25.89,0,127,67
2022-11-25,Product_A,Store_1,13.36,1,222,127
2022-11-26,Product_A,Store_1,28.56,0,233,97
2022-11-27,Product_A,Store_1,14.27,0,46,78
2022-11-28,Product_A,Store_1,19.86,1,163,126
2022-11-29,Product_A,Store_1,17.1,0,108,70
2022-11-30,Product_A,Store_1,22.98,0,93,90
2022-12-01,Product_A,Store_1,20.48,0,61,75
2022-12-02,Product_A,Store_1,18.64,1,26,123
2022-12-03,Product_A,Store_1,27.45,0,156,108
2022-12-04,Product_A,Store_1,21.44,0,141,101
2022-12-05,Product_A,Store_1,13.62,0,87,85
2022-12-06,Product_A,Store_1,26.73,0,186,97
2022-12-07,Product_A,Store_1,17.33,0,88,77
2022-12-08,Product_A,Store_1,27.12,0,180,87
2022-12-09,Product_A,Store_1,13.07,0,218,78
2022-12-10,Product_A,Store_1,13.65,0,96,89
2022-12-11,Product_A,Store_1,17.42,0,186,91
2022-12-12,Product_A,Store_1,29.81,0,207,101
2022-12-13,Product_A,Store_1,14.03,0,55,90
2022-12-14,Product_A,Store_1,21.11,0,92,101
2022-12-15,Product_A,Store_1,19.42,0,149,79
2022-12-16,Product_A,Store_1,22.08,0,27,84
2022-12-17,Product_A,Store_1,15.33,1,89,103
2022-12-18,Product_A,Store_1,15.98,0,54,105
2022-12-19,Product_A,Store_1,9.95,0,216,95
2022-12-20,Product_A,Store_1,24.61,0,74,69
2022-12-21,Product_A,Store_1,15.65,0,159,103
2022-12-22,Product_A,Store_1,28.4,1,42,107
2022-12-23,Product_A,Store_1,22.77,0,103,80
2022-12-24,Product_A,Store_1,25.33,0,51,111
2022-12-25,Product_A,Store_1,9.39,0,55,91
2022-12-26,Product_A,Store_1,16.38,0,21,89
2022-12-27,Product_A,Store_1,14.15,1,173,130
2022-12-28,Product_A,Store_1,28.23,0,190,90
2022-12-29,Product_A,Store_1,16.74,0,185,90
2022-12-30,Product_A,Store_1,22.83,0,177,66
2022-12-31,Product_A,Store_1,9.78,0,168,99
2023-01-01,Product_A,Store_1,23.29,0,229,116
2023-01-02,Product_A,Store_1,10.92,1,73,139
2023-01-03,Product_A,Store_1,18.72,0,129,96
2023-01-04,Product_A,Store_1,18.52,1,215,106
2023-01-05,Product_A,Store_1,9.76,0,31,96
2023-01-06,Product_A,Store_1,27.27,1,240,150
2023-01-07,Product_A,Store_1,8.01,0,62,109
2023-01-08,Product_A,Store_1,9.28,0,30,106
2023-01-09,Product_A,Store_1,23.29,0,220,109
2023-01-10,Product_A,Store_1,23.23,0,116,88
2023-01-11,Product_A,Store_1,13.04,0,120,91
2023-01-12,Product_A,Store_1,17.37,0,82,100
2023-01-13,Product_A,Store_1,16.09,0,111,118
2023-01-14,Product_A,Store_1,8.24,0,149,119
2023-01-15,Product_A,Store_1,8.42,0,98,118
2023-01-16,Product_A,Store_1,12.73,0,232,97
2023-01-17,Product_A,Store_1,12.37,0,248,85
2023-01-18,Product_A,Store_1,22.21,1,168,138
2023-01-19,Product_A,Store_1,10.8,0,53,89
2023-01-20,Product_A,Store_1,16.68,0,185,74
2023-01-21,Product_A,Store_1,10.93,0,211,108
2023-01-22,Product_A,Store_1,28.47,0,207,111
2023-01-23,Product_A,Store_1,22.02,0,53,95
2023-01-24,Product_A,Store_1,9.47,0,107,112
2023-01-25,Product_A,Store_1,24.22,1,212,139
2023-01-26,Product_A,Store_1,9.57,0,171,96
2023-01-27,Product_A,Store_1,24.23,0,77,102
2023-01-28,Product_A,Store_1,22.55,0,47,127
2023-01-29,Product_A,Store_1,20.09,0,115,109
2023-01-30,Product_A,Store_1,16.4,0,197,107
2023-01-31,Product_A,Store_1,21.53,0,97,114
2023-02-01,Product_A,Store_1,29.31,0,168,95
2023-02-02,Product_A,Store_1,29.56,0,137,102
2023-02-03,Product_A,Store_1,22.44,0,30,109
2023-02-04,Product_A,Store_1,28.42,0,202,123
2023-02-05,Product_A,Store_1,21.48,0,41,100
2023-02-06,Product_A,Store_1,10.67,0,51,83
2023-02-07,Product_A,Store_1,26.95,0,31,111
2023-02-08,Product_A,Store_1,21.99,1,168,134
2023-02-09,Product_A,Store_1,9.18,1,105,150
2023-02-10,Product_A,Store_1,28.62,0,48,106
2023-02-11,Product_A,Store_1,25.99,0,114,123
2023-02-12,Product_A,Store_1,26.5,0,224,113
2023-02-13,Product_A,Store_1,14.55,0,38,107
2023-02-14,Product_A,Store_1,27.21,0,130,131
2023-02-15,Product_A,Store_1,8.21,1,148,160
2023-02-16,Product_A,Store_1,29.82,0,123,93
2023-02-17,Product_A,Store_1,24.13,0,238,108
2023-02-18,Product_A,Store_1,19.85,0,183,107
2023-02-19,Product_A,Store_1,8.24,0,140,124
2023-02-20,Product_A,Store_1,15.19,1,242,148
2023-02-21,Product_A,Store_1,27.5,0,246,124
2023-02-22,Product_A,Store_1,17.08,0,122,103
2023-02-23,Product_A,Store_1,16.53,0,36,103
2023-02-24,Product_A,Store_1,19.22,0,22,103
2023-02-25,Product_A,Store_1,9.16,0,43,130
2023-02-26,Product_A,Store_1,21.25,0,207,112
2023-02-27,Product_A,Store_1,25.27,0,249,106
2023-02-28,Product_A,Store_1,19.38,0,195,103
2023-03-01,Product_A,Store_1,9.95,0,135,101
2023-03-02,Product_A,Store_1,24.18,0,222,90
2023-03-03,Product_A,Store_1,25.28,0,238,127
2023-03-04,Product_A,Store_1,24.44,0,122,113
2023-03-05,Product_A,Store_1,29.55,0,22,127
2023-03-06,Product_A,Store_1,26.3,0,217,95
2023-03-07,Product_A,Store_1,27.2,0,112,104
2023-03-08,Product_A,Store_1,25.66,0,93,93
2023-03-09,Product_A,Store_1,17.61,1,76,164
2023-03-10,Product_A,Store_1,28.3,0,236,127
2023-03-11,Product_A,Store_1,29.45,1,163,182
2023-03-12,Product_A,Store_1,25.09,0,63,118
2023-03-13,Product_A,Store_1,15.64,0,146,86
2023-03-14,Product_A,Store_1,22.6,0,167,119
2023-03-15,Product_A,Store_1,25.33,0,161,122
2023-03-16,Product_A,Store_1,13.64,0,150,106
2023-03-17,Product_A,Store_1,29.38,0,147,97
2023-03-18,Product_A,Store_1,11.33,1,215,201
2023-03-19,Product_A,Store_1,29.57,0,80,130
2023-03-20,Product_A,Store_1,23.57,1,36,188
2023-03-21,Product_A,Store_1,11.1,0,41,108
2023-03-22,Product_A,Store_1,10.15,0,163,122
2023-03-23,Product_A,Store_1,19.28,0,207,104
2023-03-24,Product_A,Store_1,9.14,0,82,111
2023-03-25,Product_A,Store_1,15.26,0,129,119
2023-03-26,Product_A,Store_1,12.51,0,232,121
2023-03-27,Product_A,Store_1,20.28,0,85,127
2023-03-28,Product_A,Store_1,28.0,0,116,115
2023-03-29,Product_A,Store_1,26.09,0,197,114
2023-03-30,Product_A,Store_1,29.22,0,31,103
2023-03-31,Product_A,Store_1,14.08,0,91,124
2023-04-01,Product_A,Store_1,28.13,0,123,119
2023-04-02,Product_A,Store_1,21.5,0,128,114
2023-04-03,Product_A,Store_1,19.16,1,239,172
2023-04-04,Product_A,Store_1,11.35,0,23,114
2023-04-05,Product_A,Store_1,27.41,0,31,119
2023-04-06,Product_A,Store_1,10.69,0,177,111
2023-04-07,Product_A,Store_1,29.94,0,242,114
2023-04-08,Product_A,Store_1,8.65,0,167,120
2023-04-09,Product_A,Store_1,29.42,1,239,153
2023-04-10,Product_A,Store_1,14.92,1,158,186
2023-04-11,Product_A,Store_1,15.87,1,245,142
2023-04-12,Product_A,Store_1,23.66,0,237,101
2023-04-13,Product_A,Store_1,17.24,0,53,106
2023-04-14,Product_A,Store_1,21.66,0,169,118
2023-04-15,Product_A,Store_1,26.56,0,110,138
2023-04-16,Product_A,Store_1,14.93,0,175,121
2023-04-17,Product_A,Store_1,26.83,0,143,113
2023-04-18,Product_A,Store_1,27.06,1,66,150
2023-04-19,Product_A,Store_1,8.73,0,136,104
2023-04-20,Product_A,Store_1,25.76,0,96,108
2023-04-21,Product_A,Store_1,27.23,1,238,165
2023-04-22,Product_A,Store_1,12.99,0,91,109
2023-04-23,Product_A,Store_1,29.49,0,97,110
2023-04-24,Product_A,Store_1,29.26,0,169,106
2023-04-25,Product_A,Store_1,29.4,1,150,147
2023-04-26,Product_A,Store_1,21.82,0,140,119
2023-04-27,Product_A,Store_1,12.81,0,200,130
2023-04-28,Product_A,Store_1,26.14,0,72,92
2023-04-29,Product_A,Store_1,24.35,0,215,129
2023-04-30,Product_A,Store_1,21.05,0,188,128
2023-05-01,Product_A,Store_1,13.27,1,132,153
2023-05-02,Product_A,Store_1,9.4,0,39,109
2023-05-03,Product_A,Store_1,24.23,0,220,120
2023-05-04,Product_A,Store_1,28.03,1,193,126
2023-05-05,Product_A,Store_1,27.64,0,112,110
2023-05-06,Product_A,Store_1,23.46,0,151,135
2023-05-07,Product_A,Store_1,10.29,0,169,140
2023-05-08,Product_A,Store_1,21.21,0,202,112
2023-05-09,Product_A,Store_1,21.95,1,25,136
2023-05-10,Product_A,Store_1,9.0,1,155,140
2023-05-11,Product_A,Store_1,17.91,0,128,85
2023-05-12,Product_A,Store_1,18.43,0,196,81
2023-05-13,Product_A,Store_1,26.79,0,132,107
2023-05-14,Product_A,Store_1,25.66,0,196,118
2023-05-15,Product_A,Store_1,25.97,0,68,98
2023-05-16,Product_A,Store_1,20.65,0,58,116
2023-05-17,Product_A,Store_1,8.99,0,158,106
2023-05-18,Product_A,Store_1,27.41,0,208,120
2023-05-19,Product_A,Store_1,22.84,0,180,98
2023-05-20,Product_A,Store_1,8.89,0,103,128
2023-05-21,Product_A,Store_1,22.64,0,180,125
2023-05-22,Product_A,Store_1,20.09,0,132,106
2023-05-23,Product_A,Store_1,24.5,0,21,96
2023-05-24,Product_A,Store_1,8.22,0,229,115
2023-05-25,Product_A,Store_1,21.48,0,47,86
2023-05-26,Product_A,Store_1,11.13,0,100,104
2023-05-27,Product_A,Store_1,14.49,0,84,110
2023-05-28,Product_A,Store_1,24.04,0,57,98
2023-05-29,Product_A,Store_1,16.89,0,192,110
2023-05-30,Product_A,Store_1,25.56,0,214,99
2023-05-31,Product_A,Store_1,24.71,0,42,116
